Nome punto,Latitudine,Longitudine,Altezza ellisoidica
Pt1,40.34230739,15.40329923,686.175
Pt2,40.34231041,15.40330161,686
Pt3,40.34231404,15.4033037,685.883
Pt4,40.34231712,15.40330628,685.668
Pt5,40.34232037,15.40330872,685.574
Pt6,40.34232362,15.40331095,685.457
Pt7,40.34232706,15.40331304,685.399
Pt8,40.34233039,15.40331566,685.318
Pt9,40.34233357,15.40331818,685.222
Pt10,40.34233715,15.40332023,685.104
Pt11,40.34234047,15.40332271,685.029
Pt12,40.34234412,15.40332471,684.883
Pt13,40.34234766,15.40332714,684.692
Pt14,40.34235079,15.4033297,684.536
Pt15,40.34235401,15.40333217,684.408
Pt16,40.34235746,15.40333491,684.347
Pt17,40.34236063,15.40333741,684.112
Pt18,40.34236403,15.4033398,683.944
Pt19,40.3423672,15.40334201,683.774
Pt20,40.34237114,15.40334459,683.531
Pt21,40.34237463,15.4033471,683.316
Pt22,40.34237806,15.40334981,683.028
Pt23,40.3423817,15.40335236,682.738
Pt24,40.34238535,15.4033549,682.541
Pt25,40.3423888,15.40335683,682.289
Pt26,40.34239158,15.40335938,682.073
Pt27,40.34239497,15.40336181,681.722
Pt28,40.34239833,15.40336391,681.412
Pt29,40.34240172,15.40336623,681.04
Pt30,40.34240494,15.40336833,680.749
Pt31,40.34240839,15.40337067,680.42
Pt32,40.34241146,15.40337323,680.138
Pt33,40.34241467,15.40337622,679.857
Pt34,40.34241762,15.40337866,679.607
Pt35,40.34242095,15.40338151,679.27
Pt36,40.3424243,15.40338386,678.987
Pt37,40.3424273,15.40338661,678.755
Pt38,40.34243061,15.4033891,678.407
Pt39,40.3424336,15.40339176,678.102
Pt40,40.34243697,15.4033945,677.826
Pt41,40.34244027,15.4033968,677.572
Pt42,40.34244387,15.40339913,677.347
Pt43,40.34244686,15.40340198,677.122
Pt44,40.34245013,15.40340441,676.861
Pt45,40.34245344,15.40340659,676.578
Pt46,40.34245695,15.40340879,676.307
Pt47,40.34246042,15.40341073,676.162
Pt48,40.34246401,15.40341273,675.94
