Date,COSMOS Daily mean Volumetric SM,Cumulated precipitation [mm]
10-lug-25,18.54957647,0
11-lug-25,17.73872711,0
12-lug-25,17.33014739,0
13-lug-25,16.70639237,0
14-lug-25,16.62479637,0
15-lug-25,17.55457471,0
16-lug-25,17.00414464,0
17-lug-25,17.79578557,0
18-lug-25,17.15008732,0
19-lug-25,15.60429715,0
20-lug-25,15.83638981,0
21-lug-25,16.27109263,0
22-lug-25,16.98608021,0
23-lug-25,16.97746202,0
24-lug-25,16.85565324,0
25-lug-25,15.0128275,0
26-lug-25,15.57819139,2.2
27-lug-25,18.95216667,0
28-lug-25,18.42395833,7.8
29-lug-25,20.33870833,0
30-lug-25,19.176875,0
31-lug-25,17.993375,0
01-ago-25,17.629875,0
02-ago-25,16.96295833,0
03-ago-25,17.09441667,0
04-ago-25,15.615,0
05-ago-25,15.59666667,0
06-ago-25,15.23729167,0
07-ago-25,14.59570833,0
08-ago-25,14.18608333,0
09-ago-25,14.196875,0
10-ago-25,13.90966667,0
11-ago-25,14.61025,0
12-ago-25,14.74995833,5.8
13-ago-25,16.883625,2.6
14-ago-25,16.89966667,0
15-ago-25,16.52020833,12
16-ago-25,19.02791667,0
17-ago-25,19.11604167,0.8
18-ago-25,19.98829167,0.2
19-ago-25,20.22616667,0
20-ago-25,20.62433333,0
21-ago-25,19.44795833,0
22-ago-25,19.74429167,0
23-ago-25,18.72054167,0
24-ago-25,17.83725,0
25-ago-25,17.57695833,0
26-ago-25,17.05220833,0
27-ago-25,16.85558333,0
28-ago-25,16.95583333,0
29-ago-25,17.39533333,3.6
30-ago-25,22.668375,16.2
31-ago-25,24.60141667,0
01-set-25,22.92,0
02-set-25,21.73445833,0
03-set-25,22.29695833,0
04-set-25,20.87854167,0
05-set-25,20.608875,0
06-set-25,19.676,0
07-set-25,19.16704167,0
08-set-25,18.848375,0
09-set-25,18.79041667,0
10-set-25,18.12483333,0
11-set-25,20.04433333,17.6
12-set-25,22.00383333,0
13-set-25,19.88954167,0
14-set-25,19.8925,0
15-set-25,19.54966667,0
16-set-25,19.08225,0
17-set-25,20.03108333,0
18-set-25,18.03775,0
19-set-25,16.25816667,0
20-set-25,16.65079167,0
21-set-25,16.92325,0
22-set-25,17.86058333,0
23-set-25,17.20708333,0
24-set-25,17.36575,2.2
25-set-25,17.78066667,0
26-set-25,16.344875,0
27-set-25,16.290875,0
28-set-25,16.62533333,0
29-set-25,16.64783333,0
30-set-25,15.70404167,0
01-ott-25,16.25695833,0
02-ott-25,19.941625,9.6
03-ott-25,20.08991667,1.2
04-ott-25,18.48095833,0
05-ott-25,18.76445833,0
06-ott-25,20.26220833,2.2
07-ott-25,19.55795833,0.2
08-ott-25,19.253625,0.4
09-ott-25,19.02716667,0
10-ott-25,18.18016667,0
11-ott-25,16.766625,0
12-ott-25,16.33254167,0
13-ott-25,17.37883333,0
14-ott-25,17.410875,0
15-ott-25,17.49208333,0
16-ott-25,19.305625,8.2
17-ott-25,24.29075,12
18-ott-25,24.93820833,5.2
19-ott-25,24.88458333,0
20-ott-25,23.98408333,0
21-ott-25,23.970625,0
22-ott-25,26.779,6.6
23-ott-25,26.04620833,0
24-ott-25,27.08633333,4.4
25-ott-25,24.89608333,0
26-ott-25,25.78595652,0
27-ott-25,25.8455,0.2
28-ott-25,24.28891667,1.8
29-ott-25,24.05279167,0.2
30-ott-25,23.9055,0
31-ott-25,23.64391667,0
01-nov-25,23.76783333,0
02-nov-25,23.42745833,0
03-nov-25,23.15220833,0
04-nov-25,22.36479167,1.4
05-nov-25,21.07875,0
06-nov-25,21.873875,0
07-nov-25,23.285125,0
08-nov-25,28.34966667,4
09-nov-25,29.81541667,1.6
10-nov-25,32.75520833,21.4
11-nov-25,30.43754167,4
12-nov-25,28.627375,0
13-nov-25,29.18441667,0
14-nov-25,28.50366667,0
15-nov-25,28.37341667,0.2
16-nov-25,27.71841667,0
17-nov-25,26.96829167,0
18-nov-25,28.073375,0
19-nov-25,30.549,11.6
20-nov-25,30.63433333,0
21-nov-25,31.904875,3.8
22-nov-25,32.17320833,12
23-nov-25,30.643125,33.8
24-nov-25,28.88225,0.8
25-nov-25,31.155625,9
26-nov-25,33.024375,14.8
27-nov-25,32.97104167,4
28-nov-25,29.74054167,2.4
29-nov-25,29.66020833,1
30-nov-25,28.31645833,0
01-dic-25,27.31220833,0
02-dic-25,27.60283333,0
03-dic-25,28.99454167,3.4
04-dic-25,31.801125,3.6
05-dic-25,33.693875,31
06-dic-25,34.16883333,1.8
07-dic-25,32.93475,0.4
08-dic-25,31.07979167,0
09-dic-25,28.356,0
10-dic-25,27.668625,0
11-dic-25,27.26541667,0
12-dic-25,27.99858333,0
13-dic-25,28.48691667,0.2
14-dic-25,28.23091667,0
15-dic-25,27.453625,0
16-dic-25,26.63991667,0
17-dic-25,28.00220833,0
18-dic-25,27.69358333,0.2
19-dic-25,27.29020833,0
20-dic-25,27.75545833,0
21-dic-25,28.07404167,0
22-dic-25,28.01404167,0
23-dic-25,28.62579167,0
24-dic-25,29.47125,3.8
25-dic-25,30.187375,9.4
26-dic-25,29.10670833,0
27-dic-25,28.58504167,0
28-dic-25,26.808375,0
29-dic-25,25.003125,0
30-dic-25,26.55604167,0
31-dic-25,27.62995833,0
